Country,TotalOrders,UniqueCustomers,TotalQuantity,TotalRevenue,AvgOrderValue,AvgQuantityPerOrder,RevenuePerCustomer
United Kingdom,16646,3920,4241301,7285024.64,437.644157154872,254.79400456566142,1858.4246530612245
Netherlands,94,9,200361,285446.34,3036.663191489362,2131.5,31716.260000000002
EIRE,260,3,140133,265262.46,1020.2402307692308,538.973076923077,88420.82
Germany,457,94,119154,228678.4,500.39037199124726,260.7308533916849,2432.748936170213
France,389,87,111428,208934.31,537.1061953727507,286.44730077120823,2401.543793103448
Australia,57,9,83891,138453.81,2429.0142105263158,1471.7719298245613,15383.756666666666
Spain,90,30,27933,61558.56,683.9839999999999,310.3666666666667,2051.9519999999998
Switzerland,51,21,30082,56443.95,1106.7441176470588,589.843137254902,2687.807142857143
Belgium,98,25,23237,41196.34,420.3708163265306,237.1122448979592,1647.8536
Sweden,36,8,36078,38367.83,1065.7730555555556,1002.1666666666666,4795.97875
Japan,19,8,26016,37416.369999999995,1969.282631578947,1369.2631578947369,4677.046249999999
Norway,36,10,19336,36165.44,1004.5955555555556,537.1111111111111,3616.5440000000003
Portugal,57,19,16095,33375.840000000004,585.541052631579,282.36842105263156,1756.623157894737
Finland,41,12,10704,22546.08,549.9043902439025,261.0731707317073,1878.8400000000001
Singapore,7,1,5241,21279.29,3039.8985714285714,748.7142857142857,21279.29
Channel Islands,26,9,9485,20440.54,786.1746153846154,364.8076923076923,2271.1711111111113
Denmark,18,9,8235,18955.34,1053.0744444444445,457.5,2106.148888888889
Italy,38,14,8112,17483.24,460.08526315789476,213.47368421052633,1248.8028571428572
Cyprus,16,8,6340,13502.85,843.928125,396.25,1687.85625
Austria,17,11,4881,10198.68,599.9223529411765,287.11764705882354,927.1527272727272
Poland,19,6,3684,7334.65,386.03421052631575,193.89473684210526,1222.4416666666666
Israel,5,3,4043,7215.84,1443.1680000000001,808.6,2405.28
Greece,5,4,1557,4760.52,952.104,311.4,1190.13
Iceland,7,1,2458,4310.0,615.7142857142857,351.14285714285717,4310.0
Canada,6,4,2763,3666.38,611.0633333333334,460.5,916.595
USA,5,4,2458,3580.39,716.078,491.6,895.0975
Malta,5,2,970,2725.59,545.118,194.0,1362.795
Unspecified,8,4,1785,2660.77,332.59625,223.125,665.1925
United Arab Emirates,3,2,982,1902.28,634.0933333333334,327.3333333333333,951.14
Lebanon,1,1,386,1693.88,1693.88,386.0,1693.88
Lithuania,4,1,652,1661.06,415.265,163.0,1661.06
European Community,4,1,499,1300.25,325.0625,124.75,1300.25
Brazil,1,1,356,1143.6,1143.6,356.0,1143.6
RSA,1,1,351,1002.3100000000001,1002.3100000000001,351.0,1002.3100000000001
Czech Republic,2,1,671,826.74,413.37,335.5,826.74
Bahrain,2,2,260,548.4,274.2,130.0,274.2
Saudi Arabia,1,1,80,145.92,145.92,80.0,145.92
